exchange	pair	timestamp	lastClose	probe_id	probe_time,exchange,pair,timestamp,lastClose,probe_id,probe_time
,cryptocom,ETH/USDT,1742241604159.0,1942.14,,1742241534.8788862
,cryptocom,SOL/USDT,1742241603891.0,129.86,,1742241534.8788862
,cryptocom,DOGE/USDT,1742241604298.0,0.174911,,1742241534.8788862
,cryptocom,BONK/USDT,1742241605314.0,1.1294e-05,,1742241534.8788862
,cryptocom,LINK/USDT,1742241605597.0,14.13,,1742241534.8788862
,cryptocom,WIF/USDT,1742241605658.0,0.5088,,1742241534.8788862
,cryptocom,PEPE/USDT,1742241603873.0,7.4476e-06,,1742241534.8788862
,cryptocom,XRP/USDT,1742241605781.0,2.35976,,1742241534.8788862
,cryptocom,BCH/USDT,1742241606225.0,339.94,,1742241534.8788862
,cryptocom,NEAR/USDT,1742241606891.0,2.6637,,1742241534.8788862
,cryptocom,AVAX/USDT,1742241606857.0,18.931,,1742241534.8788862
,mexc,SOL/USDT,1742241609368.0,129.86,,1742241534.8788862
,mexc,PEPE/USDT,1742241609368.0,7.44e-06,,1742241534.8788862
,mexc,AVAX/USDT,1742241609368.0,18.96,,1742241534.8788862
,mexc,LINK/USDT,1742241609368.0,14.13,,1742241534.8788862
,mexc,DOGE/USDT,1742241609368.0,0.17492,,1742241534.8788862
,mexc,BCH/USDT,1742241609368.0,340.0,,1742241534.8788862
,mexc,XRP/USDT,1742241609368.0,2.3599,,1742241534.8788862
,mexc,ETH/USDT,1742241609369.0,1942.22,,1742241534.8788862
,mexc,NEAR/USDT,1742241609369.0,2.669,,1742241534.8788862
,mexc,BONK/USDT,1742241609369.0,1.128e-05,,1742241534.8788862
,mexc,WIF/USDT,1742241609369.0,0.508,,1742241534.8788862
,mexc,BTC/USDT,1742241609369.0,84486.78,,1742241534.8788862
,bitget,LINK/USDT,1742241610743.0,14.13,,1742241534.8788862
,bitget,DOGE/USDT,1742241610738.0,0.17508,,1742241534.8788862
,bitget,XRP/USDT,1742241610739.0,2.361,,1742241534.8788862
,bitget,BTC/USDT,1742241611350.0,84474.21,,1742241534.8788862
,bitget,ETH/USDT,1742241610440.0,1942.27,,1742241534.8788862
,bitget,BCH/USDT,1742241611351.0,340.1,,1742241534.8788862
,bitget,SOL/USDT,1742241610437.0,129.88,,1742241534.8788862
,bitget,AVAX/USDT,1742241610751.0,18.94,,1742241534.8788862
,bitget,NEAR/USDT,1742241611372.0,2.673,,1742241534.8788862
,bitget,BONK/USDT,1742241610781.0,1.127e-05,,1742241534.8788862
,bitget,PEPE/USDT,1742241611387.0,7.44e-06,,1742241534.8788862
,bitget,WIF/USDT,1742241610800.0,0.508,,1742241534.8788862
,binance,BTC/USDT,1742242002889,84235.62,,1742242002.5563962
,binance,ETH/USDT,1742242002585,1937.07,,1742242002.5563962
,binance,XRP/USDT,1742242002696,2.3564,,1742242002.5563962
,binance,LINK/USDT,1742242002496,14.13,,1742242002.5563962
,binance,DOGE/USDT,1742242002851,0.17459,,1742242002.5563962
,binance,BCH/USDT,1742242002580,339.2,,1742242002.5563962
,binance,SOL/USDT,1742242002854,129.49,,1742242002.5563962
,binance,AVAX/USDT,1742242002490,18.9,,1742242002.5563962
,binance,NEAR/USDT,1742242002232,2.666,,1742242002.5563962
,binance,PEPE/USDT,1742242002889,7.41e-06,,1742242002.5563962
,binance,BONK/USDT,1742242002175,1.123e-05,,1742242002.5563962
,binance,WIF/USDT,1742242002707,0.507,,1742242002.5563962
,bybit,BCH/USDT,,339.3,,1742242002.5563962
,bybit,BONK/USDT,,1.123e-05,,1742242002.5563962
,bybit,NEAR/USDT,,2.666,,1742242002.5563962
,bybit,BTC/USDT,,84233.93,,1742242002.5563962
,bybit,LINK/USDT,,14.13,,1742242002.5563962
,bybit,SOL/USDT,,129.5,,1742242002.5563962
,bybit,AVAX/USDT,,18.9,,1742242002.5563962
,bybit,WIF/USDT,,0.506,,1742242002.5563962
,bybit,ETH/USDT,,1937.26,,1742242002.5563962
,bybit,XRP/USDT,,2.357,,1742242002.5563962
,bybit,PEPE/USDT,,7.42e-06,,1742242002.5563962
,bybit,DOGE/USDT,,0.17462,,1742242002.5563962
,okx,BONK/USDT,1742242001511,1.1234e-05,,1742242002.5563962
,okx,BCH/USDT,1742242002412,339.4,,1742242002.5563962
,okx,SOL/USDT,1742242002310,129.49,,1742242002.5563962
,okx,DOGE/USDT,1742242002234,0.17459,,1742242002.5563962
,okx,XRP/USDT,1742242002234,2.3564,,1742242002.5563962
,okx,BTC/USDT,1742242002408,84233.9,,1742242002.5563962
,okx,PEPE/USDT,1742242002414,7.422e-06,,1742242002.5563962
,okx,LINK/USDT,1742242002214,14.123,,1742242002.5563962
,okx,ETH/USDT,1742242002309,1936.9,,1742242002.5563962
,okx,WIF/USDT,1742241999807,0.5069,,1742242002.5563962
,okx,NEAR/USDT,1742242002111,2.666,,1742242002.5563962
